row,dam,lat,lng,status,detail,search_radius,raw_ids
2375,浜ノ瀬,32.09469246,131.0118586,ok,cont-1:id=1007(Pg14-3_som_Pg2),,[1007]
2376,岩瀬,31.94205293,131.14002063,ok,cont-4:id=1647(Q22_sn); cont-5:id=2297(Q33_vas_ap),500,"[2297, 1406, 1647, 2336]"
2377,天神,31.81900087,131.23007102,ok,cont-1:id=2138(Pg4-N211_soss_Pg4); cont-5:id=2297(Q33_vas_ap),500,[2297]
2378,広沢,32.00665966,131.18670093,ok,cont-1:id=2109(Pg14-3_soss_Pg2),,[2109]
2379,瓜田,31.92646012,131.30748793,ok,cont-1:id=983(K212-22_sx_K2),,[983]
2380,綾南,32.05789992,131.12067653,ok,cont-1:id=1006(Pg14-3_somam_Pg2),,[1006]
2381,田代八重,32.13572777,131.12264811,ok,cont-1:id=1007(Pg14-3_som_Pg2),,[1007]
2382,綾北,32.09842148,131.14273845,ok,cont-1:id=1006(Pg14-3_somam_Pg2),,[1006]
2383,古賀根橋,32.07646017,131.17733391,ok,cont-1:id=1006(Pg14-3_somam_Pg2),500,"[1006, 1309, 2109]"
2384,籾木溜池,32.06534747,131.29204201,ok,cont-2:id=2384(N2_soss); cont-4:id=1405(Q31_std),500,"[2384, 1405]"
2385,広渡,31.71571131,131.26773012,ok,cont-1:id=2138(Pg4-N211_soss_Pg4),,[2138]
2386,日南,31.64069032,131.27370079,ok,cont-1:id=1078(Pg4_som),,[1078]
2387,大川（元）,28.34174016,129.48369108,ok,cont-1:id=854(K212-22_som_K2),,[854]
2388,大川（再）,28.34138889,129.4836111,ok,cont-1:id=854(K212-22_som_K2),,[854]
2389,輝北,31.54833333,130.90079809,ok,cont-1:id=854(K212-22_som_K2); cont-5:id=2297(Q33_vas_ap),2000,[2297]
2390,高隈,31.50827671,130.85935264,ok,cont-1:id=854(K212-22_som_K2),,[854]
2391,花牟礼池,31.33747409,130.97114297,ok,cont-1:id=1007(Pg14-3_som_Pg2); cont-5:id=2297(Q33_vas_ap),500,[2297]
2392,荒瀬,31.33828957,131.01118955,ok,cont-2:id=2141(N21_pim_a),,[2141]
2393,竹山,31.81303159,130.66535985,ok,cont-4:id=1890(Q12_vis_al); cont-5:id=2297(Q33_vas_ap),500,[2297]
2394,住吉池,31.77022625,130.58918887,ok,cont-4:id=2415(Q1-21_sb); cont-5:id=647(H_vbs_al),500,"[2415, 647, 1406]"
2395,西之谷,31.60079132,130.50226299,ok,cont-1:id=1862(K21_soss); cont-2:id=2368(N3_vas_ap); cont-5:id=2297(Q33_vas_ap),4000,[2297]
2396,西京,30.76438492,131.03189637,ok,cont-1:id=1006(Pg14-3_somam_Pg2),,[1006]
2397,尾立,30.33729609,130.59169676,ok,cont-2:id=1619(N1_pam_a),,[1619]
2398,新住用川,28.28890165,129.38620523,ok,cont-1:id=819(K12-212_som_K1),,[819]
2399,喜界地下,28.31083333,129.9380556,ok,cont-4:id=996(Q1-2_sol); cont-5:id=2414(H_ssd),500,[2414]
2400,大和,28.34336674,129.38748751,ok,cont-1:id=819(K12-212_som_K1),,[819]
2401,須野,28.47294892,129.69853814,ok,cont-1:id=2256(Pg2_soc),,[2256]
2402,母間,27.79853887,128.96900171,ok,cont-1:id=52(J33-K212_vbs_o_K2),,[52]
2403,神嶺,27.75215121,128.99748596,ok,cont-1:id=52(J33-K212_vbs_o_K2),,[52]
2404,東部,27.6985926,128.9584303,ok,cont-1:id=1663(Pg1_pam_a); cont-4:id=996(Q1-2_sol),500,"[1663, 996, 52]"
2405,伊仙中部,27.70682422,128.94484679,ok,cont-1:id=1663(Pg1_pam_a); cont-4:id=2416(Q1-21_sn); cont-5:id=1883(H_sad),500,"[2416, 1663, 1883]"
2406,西部,27.82172805,128.93227451,ok,cont-1:id=1663(Pg1_pam_a),,[1663]
2407,徳之島,27.77497409,128.92743279,ok,cont-1:id=1370(K212-22_somas_K2),,[1370]
2408,南部,27.78951404,128.94754898,ok,cont-1:id=1992(K212-22_soss_K2),500,"[1992, 1663, 983]"
2409,道原,33.7807106,130.82664198,ok,cont-1:id=545(P2-3_som_P2),,[545]
2410,ます渕,33.76222222,130.8388889,ok,cont-1:id=545(P2-3_som_P2),500,[545]
2411,河内,33.83813226,130.81047324,ok,cont-1:id=1189(K11_snsmm),,[1189]
2412,菖蒲谷,33.90969677,130.78237811,ok,cont-1:id=1586(K12_vis_al),,[1586]
2413,畑,33.8044627,130.75730752,ok,cont-1:id=1189(K11_snsmm); cont-4:id=1405(Q31_std); cont-5:id=1883(H_sad),500,"[1189, 1883, 1405]"
2414,福智山,33.75659305,130.7833238,ok,cont-1:id=43(C13-P1_vbs_o_P2),,[43]
2415,日の岡溜池,33.53870314,130.67801546,ok,cont-1:id=1884(K12_pim_a),,[1884]
2416,陣屋,33.52739938,130.84499379,ok,cont-1:id=1624(K21_pam_a),,[1624]
2417,頓田第2（再）,33.90805513,130.72742561,ok,cont-1:id=2084(Pg3_soss); cont-5:id=1883(H_sad),500,[1883]
2418,頓田第1（再）,33.90309549,130.73198046,ok,cont-1:id=2084(Pg3_soss),,[2084]
2419,犬鳴,33.68769187,130.56000281,ok,cont-1:id=199(D3-P1_mscma_hg),,[199]
2420,福智山池,33.75278799,130.77177063,ok,cont-1:id=545(P2-3_som_P2); cont-5:id=1883(H_sad),500,[1883]
2421,白木,33.8119327,130.77012303,ok,cont-1:id=1189(K11_snsmm),,[1189]
2422,笠城,33.67721023,130.65900271,ok,cont-1:id=1624(K21_pam_a),,[1624]
2423,本入溜池,33.69615823,130.68124967,ok,cont-1:id=1991(Pg2_sns),,[1991]
2424,遠賀川河口堰,33.88890252,130.67676786,ok,cont-1:id=2084(Pg3_soss); cont-5:id=1883(H_sad),500,"[1883, 2084]"
2425,釜底溜池,33.74385681,130.61870442,ok,cont-1:id=1993(K21_pim_a),,[1993]
2426,呉,33.67449727,130.87770708,ok,cont-1:id=554(Tr22-J31_mscpe_hc),,[554]
2427,久保白,33.60148215,130.6529794,ok,cont-1:id=1624(K21_pam_a); cont-5:id=1406(Q32-33_std),500,"[1624, 1406, 1883]"
2428,切畑,33.57704763,130.60553683,ok,cont-1:id=1591(K12_pam_a); cont-5:id=1883(H_sad),500,"[1591, 2030, 1883, 1991, 554]"
2429,尾崎,33.73526534,130.71984083,ok,cont-1:id=1462(K11_snc),,[1462]
2430,弁城,33.71633007,130.79391501,ok,cont-1:id=1624(K21_pam_a),,[1624]
2431,力丸,33.68963889,130.6269167,ok,cont-1:id=1462(K11_snc),,[1462]
2432,大井（元）,33.79880173,130.51998414,ok,cont-1:id=2030(Pg2_sbs),,[2030]
2433,大井（再）,33.7988063,130.51998476,ok,cont-1:id=2030(Pg2_sbs),,[2030]
2434,吉田,33.83787482,130.52874214,ok,cont-1:id=2030(Pg2_sbs); cont-5:id=1883(H_sad),500,[1883]
2435,多礼,33.82180972,130.52937376,ok,cont-1:id=2030(Pg2_sbs),,[2030]
2436,久末,33.76641348,130.52025289,ok,cont-1:id=1993(K21_pim_a); cont-4:id=1405(Q31_std); cont-5:id=1883(H_sad),500,"[1993, 1405, 1883]"
2437,古賀,33.70429127,130.5057354,ok,cont-1:id=326(D3-P1_mscpe_hg); cont-5:id=1883(H_sad),500,[1883]
2438,須恵,33.58859557,130.55103991,ok,cont-1:id=1591(K12_pam_a),,[1591]
2439,猪野,33.68340579,130.52046413,ok,cont-1:id=326(D3-P1_mscpe_hg),,[326]
2440,駕輿丁池,33.60493936,130.48696593,ok,cont-4:id=1405(Q31_std),,[1405]
2441,長谷,33.6546244,130.47599203,ok,cont-1:id=199(D3-P1_mscma_hg),,[199]
2442,鳴淵,33.62565418,130.55317565,ok,cont-1:id=440(D3-P1_msp_hg),,[440]
2443,久原,33.64439404,130.52484436,ok,cont-1:id=326(D3-P1_mscpe_hg); cont-5:id=1883(H_sad),500,"[326, 199, 1991, 1883]"
2444,久原副,33.64151475,130.52504908,ok,cont-1:id=1991(Pg2_sns),,[1991]
2445,牛頚,33.48646367,130.47906597,ok,cont-1:id=1591(K12_pam_a),,[1591]
2446,東谷口池,33.51447874,130.51199771,ok,cont-1:id=1591(K12_pam_a); cont-5:id=1406(Q32-33_std),500,[1406]
2447,北谷,33.54452307,130.55484268,ok,cont-1:id=1591(K12_pam_a),,[1591]
2448,大佐野,33.49031823,130.48819471,ok,cont-1:id=1591(K12_pam_a),,[1591]
2449,地別当共同池,33.4889566,130.43883367,ok,cont-1:id=1591(K12_pam_a),,[1591]
2450,南畑（元）,33.43450856,130.42486422,ok,cont-1:id=1591(K12_pam_a),500,[1591]
2451,南畑（再）,33.43450856,130.42486422,ok,cont-1:id=1591(K12_pam_a),500,[1591]
2452,五ヶ山,33.41407556,130.41879464,ok,cont-1:id=1591(K12_pam_a),,[1591]
